ECO_ID,PD,MDT,MPD,MNTD
50509,11154.2940782015,28.3592369355488,241.183674879215,31.7212217840385
50510,38814.3359314292,20.5107354981099,243.399461481694,25.3695009247084
50511,38841.4289109245,16.0979615463314,236.942352675073,19.4219677271021
50512,32701.5385499723,18.6281906857973,238.889150007756,22.7659899364935
50513,31791.908043176,29.7585578516241,243.092060030322,36.87151235034
50514,19356.2952481658,24.8456829845552,241.745842674496,27.0553735102381
50515,17297.5434660045,21.4258141519156,236.345464082534,22.585325904075
50516,41819.2838419688,17.8546273985205,240.584627317855,22.1617441914083
50517,56354.1262109623,20.2736662602672,241.960074736003,24.3028947701244
50518,38518.2166783852,17.2924881316206,240.811341673633,21.4750900298456
50519,36574.6234722666,21.7754749261696,241.326343370406,25.6492545540243
50520,16108.4550096726,27.2664938333347,242.847973564075,30.7811762531921
50521,8661.4102393006,36.9886876937777,240.157162958476,43.2846336631095
50522,30064.2195662025,21.6046158542142,241.293483319973,25.6063618320035
50523,47723.829464131,21.7634053087117,241.01939452967,25.9546650254005
50524,40362.3696223043,21.2516839453142,244.263804938342,26.6865760746947
50525,11213.0910739159,34.8884298587718,241.784381307934,41.5434897861087
50526,19391.1653216286,24.852112094573,235.806063073294,26.8209461365277
50527,45941.2411902119,16.6789243039818,239.276969912767,21.4685616418648
50528,36550.7729302919,15.8364464401729,238.380881472568,19.147877255736
50529,73628.136525897,19.5459325098354,242.856392962395,24.0812627582929
50530,29444.2483154704,17.6023224245764,236.048341150864,19.7572659789029
50601,12257.0029765753,29.0658295024195,242.687805572027,33.1813365021428
50602,22852.7360026835,23.8812452268954,241.621434376588,28.2828450397766
50603,13630.8769085031,30.3175270807596,244.659223764278,33.8695415327539
50604,4055.2688419997,50.2501382692269,240.989477480039,68.703606620238
50605,27030.9349112232,21.713577460964,241.537412929459,24.8190537817899
50606,14265.9326234514,25.3339738322137,238.388409056389,30.058674850475
50607,16598.965317743,22.9898564733509,242.547902834435,24.9882238988806
50608,17952.027678095,25.5190827094465,241.935049310587,29.6514425337114
50609,15139.7659751711,28.9668927029898,242.978859565014,33.627755502926
50610,12454.7425129293,28.4336690738488,241.812429192262,32.6178980780341
50611,5651.6091069997,50.9019748190448,238.598789481902,68.5181226272618
50612,10356.4785094028,30.4603709796907,240.434725987592,35.983856038347
50613,17763.5287156848,21.7511325982055,241.262311801445,24.2730689886061
50614,10536.0106129943,28.6791462478515,241.712409883519,30.5954236581044
50615,2921.835081,71.4378724358974,231.531107378205,106.251764725
50616,17838.882239557,22.5369872486493,239.217243150945,26.4089367183644
50617,13351.9391280407,25.738230920237,241.068985616905,28.7407362475607
50701,46192.0386571617,22.5195994813239,240.854799525845,27.3810840940224
50801,38934.5169042247,20.0431684311957,240.565350723088,24.3052654533963
50802,26818.3590497401,22.0079453466702,241.287211982367,26.3374928668079
50803,35735.0188355315,21.2216289393616,239.332088081285,25.1549784532542
50804,70831.3650612909,18.2978135638194,242.437123215308,23.9546755391246
50805,42039.8327565942,21.8364086577744,243.102696819717,26.3078458126129
50806,38582.948697609,22.9912264950014,239.223738434385,27.5092311633266
50807,21964.7138265629,26.8091707043875,238.989627018407,31.222677474738
50808,27497.1421484326,19.6402224230171,238.414911410789,22.294400652867
50809,16058.5121305144,29.9966892573216,239.573519634096,35.5316898841163
50810,22728.5548534177,24.4618138311655,239.929617068305,28.7323962394431
50811,26886.4948859893,20.5992073539568,238.101897425632,23.0063829463347
50812,21896.7234581543,25.2212724200623,240.125086681682,28.0732097190311
50813,29171.4210636877,20.5165676675628,239.855273161553,23.4888063967713
50814,41319.6962313729,21.3966275731597,239.861313865235,25.9400903509856
50815,42156.554150946,18.4872785712567,237.375580168889,22.1841205770939
51101,15594.5676796952,22.527162724936,241.675920672298,23.7595653130352
51102,8124.0788695362,35.0496800940756,241.326830809563,39.7702236642964
51103,8729.1683328864,23.7277563066889,239.097873466571,24.9236827806683
51104,11147.4680163837,23.865785552984,240.201371750351,25.5994281633282
51106,10931.6650543676,29.9886850826609,241.822193785715,33.7379145119468
51107,12284.0328556623,24.4842959315619,242.007994236987,25.4673999674049
51108,11292.9328283979,23.2648405414334,240.735599899496,24.0909631246241
51109,3211.8339021419,34.85237420625,234.093446786105,34.5685048596725
51110,4940.2826264509,25.0814580245,234.356769037297,25.6806495577836
51111,16603.3870622357,22.0145918496119,241.402028614506,23.5081667074952
51112,4491.7932399481,27.7586568370436,232.900941705721,27.971273223652
51113,10189.1570864705,29.671462539025,238.397077139321,34.5999058376952
51114,9128.4246160416,25.5463065482812,239.602357766484,29.0927089708013
51115,7979.377870109,24.0873806089283,238.599874369226,26.076708887273
51116,12273.7216013678,24.4068692411805,241.379317232574,25.443104279464
51117,17440.6108091043,23.9066626179008,243.219152506222,26.3287376459256
51118,3965.9549395848,46.4875193159136,238.865819242934,58.7520559005471
51201,61184.2963808928,17.3833394787482,238.856423061539,22.3538545321704
51202,57964.919475545,16.806198949456,239.728386608,21.3654583934704
51203,47620.361040121,16.8561678077199,238.30658208887,21.091559203273
