"Trait","State1_Label","State2_Label","bin_id","bin_start_age","bin_end_age","n_sims","prop_State1_mean","prop_State1_sd","prop_State2_mean","prop_State2_sd","rate_1to2_mean","rate_1to2_sd","rate_2to1_mean","rate_2to1_sd"
"GF","GF_W","GF_H",128,127,128,1000,0.409964930803286,0.163255423354715,0.590035069196714,0.163255423354715,0.00688043659306452,0.0286118786254504,0.00451148763581763,0.0209640929910395
"GF","GF_W","GF_H",129,128,129,1000,0.441603682262762,0.174140669507767,0.558396317737238,0.174140669507767,0.00780212952110963,0.0319271549381057,0.00580834904664236,0.0265124086259037
"GF","GF_W","GF_H",130,129,130,1000,0.454218602513369,0.202702101023546,0.545781397486631,0.202702101023546,0.0121148947950564,0.0415550150557934,0.00387913226687888,0.024135433929946
"GF","GF_W","GF_H",131,130,131,1000,0.48382030845808,0.217596899561402,0.51617969154192,0.217596899561402,0.0166621296069602,0.0467728032547475,0.00792899040840753,0.0371017546297753
"GF","GF_W","GF_H",132,131,132,1000,0.484004833685304,0.257030307317393,0.515995166314696,0.257030307317393,0.0214558270756019,0.0604584953497336,0.0164514518123934,0.0519515331661438
"GF","GF_W","GF_H",133,132,133,1000,0.528959958314483,0.282702115611605,0.471040041685517,0.282702115611605,0.0234327814866519,0.0681160020605009,0.0147346710669157,0.0549039295304228
"GF","GF_W","GF_H",134,133,134,1000,0.527573749095938,0.317516346414738,0.472426250904062,0.317516346414738,0.0286105079965928,0.075961006769532,0.0228911416017574,0.0657903892214795
"GF","GF_W","GF_H",135,134,135,1000,0.547279605403137,0.344673619818829,0.452720394596863,0.344673619818829,0.0419374051083625,0.105774247726124,0.0233878606862303,0.0706668656383409
"GF","GF_W","GF_H",136,135,136,1000,0.611107921749938,0.375167582139524,0.388892078250062,0.375167582139524,0.0493827538912643,0.121872451337711,0.0311576677641112,0.102860265249563
"GF","GF_W","GF_H",137,136,137,1000,0.697015202041722,0.355323457698447,0.302984797958278,0.355323457698447,0.0372044948040969,0.127254359040016,0.00175769852985898,0.0280107604337277
"GF","GF_W","GF_H",138,137,138,1000,0.736158483575461,0.351349252936166,0.263841516424539,0.351349252936166,0.0850149728207722,0.239014233803067,0.00914414047226461,0.277171359463066
"GF","GF_W","GF_H",139,138,139,1000,0.861008142842003,0.292314799775116,0.138991857157997,0.292314799775116,0.144424805824509,0.292395293811928,0.000658822527370775,0.0208337976032027
"LC","LC_P","LC_A",1,0,1,1000,0.0775282296491463,0.000264728073881415,0.9224717703508,0.000264728073881198,0.048882334029976,0.00293504304710392,0.0163577655796913,0.000380160289391369
"LC","LC_P","LC_A",2,1,2,1000,0.0753274098240322,0.000516987133462293,0.924672590175972,0.000516987133462255,0.0414211718488479,0.00354549863708408,0.0105253050414342,0.000471664743899578
"LC","LC_P","LC_A",3,2,3,1000,0.0752381807186857,0.000731392025815506,0.924761819281314,0.000731392025815544,0.0436036240617427,0.00413229645771775,0.00936043505520541,0.000538531065444643
"LC","LC_P","LC_A",4,3,4,1000,0.0761805013414907,0.000947955136327837,0.923819498658509,0.000947955136327809,0.0462238765087071,0.00472489506174328,0.00904666104546194,0.000569390693168137
"LC","LC_P","LC_A",5,4,5,1000,0.0773289095605546,0.00115250685475925,0.922671090439446,0.00115250685475927,0.0491558038888638,0.00502787754537809,0.00846245092727452,0.000608075682931145
"LC","LC_P","LC_A",6,5,6,1000,0.0797134698160568,0.0013924985435796,0.920286530183943,0.00139249854357943,0.0506548460236836,0.00583034786244005,0.00781284657567085,0.000638353313010414
"LC","LC_P","LC_A",7,6,7,1000,0.0828458033392317,0.00161174036564135,0.917154196660769,0.00161174036564137,0.0507783275879532,0.00620007300787934,0.00734097326133919,0.000692897599538587
"LC","LC_P","LC_A",8,7,8,1000,0.0861659258606524,0.00184814832819477,0.913834074139348,0.00184814832819478,0.0502429318175642,0.00646059126358996,0.00693339496972966,0.000724585384018423
