GlobalID,ECO_ID
G090117,60205
G271548,10409
G296833,60135
G263666,40210
G036253,50529
G046539,61002
G195128,30109
G317404,60129
G193561,51301
G037521,30725
G163690,80441
G277135,61006
G077954,60156
G159511,51310
G057132,60803
G006409,80405
G322185,60132
G161017,61003
G066395,30717
G296700,30102
G008547,40134
G127578,61304
G124928,51106
G080863,81220
G036930,30116
G130909,60150
G246328,50521
G310080,80440
G312417,31401
G045128,60150
G217673,30118
G191147,10409
G067340,81211
G107081,80611
G203327,60211
G319940,31203
G295121,80102
G082136,80418
G270045,10402
G293970,80412
G058541,80443
G118168,11002
G289591,80610
G300847,60124
G129622,50409
G065481,60162
G251142,30103
G041820,80514
G269139,31202
G207828,60101
G113869,50607
G021091,40135
G268032,50510
G062222,80426
G297604,81201
G267580,80441
G102472,11209
G032167,60309
G141808,60309
G311551,30123
G138419,31201
G089566,60167
G110763,60105
G024255,60136
G301099,30126
G042798,80817
G093815,60153
G148473,40403
G260603,81320
G090692,60135
G174888,50605
G035017,60111
G262099,30118
G272862,60104
G224323,60175
G082367,81215
G248840,30118
G148662,30704
G205804,31009
G328549,81003
G056213,50504
G175887,30717
G266167,51309
G078518,81206
G113251,50412
G060871,11310
G014408,40149
G211118,60102
G172299,80413
G173465,30118
G216347,61403
G173697,31013
G322481,60119
G008925,80419
G118856,10803
G181771,10705
G247049,80433
G318135,80817
G022328,50815
G082557,81110
G277780,80440
G028332,60121
G211618,10703
G261799,81003
G277859,30103
G281949,10707
G253399,40118
G277914,11203
G084132,31322
G213307,50523
G108902,31322
G303185,30103
G080608,50523
G116900,60703
G008817,11201
G324163,30717
G330705,11309
G209642,10413
G315867,60174
G109660,10411
G211537,81215
G233463,11205
G280991,51101
G124873,80510
G115004,60181
G190209,60121
G330919,50802
G131739,60217
G014525,61304
G107166,80428
G199959,60167
G278157,81104
G040669,80417
G252503,60153
G327577,61401
G031764,11204
G205406,60121
G318121,80511
G250253,50805
G215456,40118
G135237,30801
G141983,80102
G048695,30107
G187557,60173
G105135,31004
G322693,51307
G270151,30908
G156211,10703
G184643,61406
G084391,81221
G242058,31004
G268329,80445
G244772,50529
G115896,60105
G026567,10706
