ECO_ID,Long,Lat,Area,Realm
50401,-77.1020448,41.97565382,84010.83,NA_Realm
50402,-82.45711703,37.90235329,192263.65,NA_Realm
50403,-80.84571778,37.46568956,159342.5,NA_Realm
50404,-88.66952059,37.0465499,296135.23,NA_Realm
50405,-96.62399533,30.6115611,52583.16,NA_Realm
50406,-77.27166081,46.77308761,348614.26,NA_Realm
50407,-76.36463629,44.69662477,116672.75,NA_Realm
50408,-64.8811364,46.29649354,39515.69,NA_Realm
50409,-90.89949018,33.57006104,112240.04,NA_Realm
50410,-68.42170692,45.37783839,238153.25,NA_Realm
50411,-73.01317864,41.75495453,89778.03,NA_Realm
50412,-93.79252856,35.10253595,62008.35,NA_Realm
50413,-83.76842644,34.37490583,347724.08,NA_Realm
50414,-83.59851204,41.66787127,244828.21,NA_Realm
50415,-91.02529618,44.47387379,166476.76,NA_Realm
50416,-91.22830904,47.33196508,274721.27,NA_Realm
50417,-122.9788177,44.8784426,14883.02,NA_Realm
50501,-117.7649859,52.84021162,39932.59,NA_Realm
50502,-118.1023717,55.1431687,121016.65,NA_Realm
50503,-109.453551,34.15991486,109051.72,NA_Realm
50504,-73.43245722,40.29402515,8975.01,NA_Realm
50505,-118.4749753,44.73727074,64844.17,NA_Realm
50506,-126.2591786,52.05025531,137749.93,NA_Realm
50507,-121.9485581,49.89470589,46451.43,NA_Realm
50508,-122.1680679,44.89096381,44950.28,NA_Realm
50509,-124.0479242,55.74547004,72089.9,NA_Realm
50510,-124.675396,47.48155297,73863.29,NA_Realm
50511,-106.348064,38.66726536,132840.82,NA_Realm
50512,-121.2284448,43.03831897,55298.62,NA_Realm
50513,-81.16022335,28.26201186,3879.02,NA_Realm
50514,-124.1073748,53.3703531,137635.86,NA_Realm
50515,-115.8175554,39.01288592,5788.2,NA_Realm
50516,-123.1358847,41.39485903,50369.96,NA_Realm
50517,-78.51355493,34.95362485,133597.06,NA_Realm
50518,-116.8122226,49.73141388,246514.65,NA_Realm
50519,-123.5662063,39.67099137,13287.08,NA_Realm
50520,-137.2804848,57.59351216,60754.9,NA_Realm
50521,-128.6392543,56.14917675,25783.05,NA_Realm
50522,-119.5554389,49.77802501,53495.62,NA_Realm
50523,-93.66216062,32.25541062,140797.49,NA_Realm
50524,-122.7645208,48.08238494,22605.49,NA_Realm
50525,-132.2197338,53.3891438,9998.57,NA_Realm
